"species","sex","site","date","year","dataset","lat","lon","effort","ab","doy"
"Lasioglossum trizonatum","F","Almont",2010-06-27,2010,"rmbl",38.65622,-106.86203,6.05,1,178
"Dianthidium heterulkei","F","Almont",2010-06-27,2010,"rmbl",38.65622,-106.86203,6.05,1,178
"Lasioglossum prasinogaster","F","Almont",2010-06-27,2010,"rmbl",38.65622,-106.86203,6.05,5,178
"Ceratina nanula","F","Almont",2010-06-27,2010,"rmbl",38.65622,-106.86203,6.05,2,178
"Melissodes grindeliae","M","Almont",2010-07-10,2010,"rmbl",38.65622,-106.86203,5.28333333333333,1,191
"Calliopsis teucrii","M","Almont",2010-07-10,2010,"rmbl",38.65622,-106.86203,5.28333333333333,1,191
"Lasioglossum prasinogaster","F","Almont",2010-07-10,2010,"rmbl",38.65622,-106.86203,5.28333333333333,54,191
"Ceratina nanula","F","Almont",2010-07-10,2010,"rmbl",38.65622,-106.86203,5.28333333333333,2,191
"Lasioglossum sedi","F","Almont",2010-07-10,2010,"rmbl",38.65622,-106.86203,5.28333333333333,8,191
"Lasioglossum occidentale","F","Almont",2010-07-10,2010,"rmbl",38.65622,-106.86203,5.28333333333333,9,191
"Lasioglossum trizonatum","F","Almont",2010-07-10,2010,"rmbl",38.65622,-106.86203,5.28333333333333,1,191
"Halictus tripartitus","F","Almont",2010-07-10,2010,"rmbl",38.65622,-106.86203,5.28333333333333,2,191
"Lasioglossum ruidosense","F","Almont",2010-07-10,2010,"rmbl",38.65622,-106.86203,5.28333333333333,1,191
"Agapostemon texanus","F","Almont",2010-07-24,2010,"rmbl",38.65622,-106.86203,5.93333333333333,1,205
"Lasioglossum trizonatum","F","Almont",2010-07-24,2010,"rmbl",38.65622,-106.86203,5.93333333333333,1,205
"Lasioglossum prasinogaster","F","Almont",2010-07-24,2010,"rmbl",38.65622,-106.86203,5.93333333333333,15,205
"Lasioglossum sedi","F","Almont",2010-07-24,2010,"rmbl",38.65622,-106.86203,5.93333333333333,1,205
"Lasioglossum occidentale","F","Almont",2010-07-24,2010,"rmbl",38.65622,-106.86203,5.93333333333333,1,205
"Halictus tripartitus","F","Almont",2010-07-24,2010,"rmbl",38.65622,-106.86203,5.93333333333333,1,205
"Ceratina nanula","F","Almont",2010-07-24,2010,"rmbl",38.65622,-106.86203,5.93333333333333,1,205
"Dianthidium heterulkei","F","Almont",2010-07-24,2010,"rmbl",38.65622,-106.86203,5.93333333333333,1,205
"Lasioglossum prasinogaster","F","Almont",2010-08-11,2010,"rmbl",38.65622,-106.86203,4.9,12,223
"Lasioglossum occidentale","F","Almont",2010-08-11,2010,"rmbl",38.65622,-106.86203,4.9,2,223
"Ceratina nanula","F","Almont",2010-08-11,2010,"rmbl",38.65622,-106.86203,4.9,3,223
"Dianthidium heterulkei","F","Almont",2010-08-11,2010,"rmbl",38.65622,-106.86203,4.9,1,223
"Megachile mellitarsis","F","Almont",2010-08-20,2010,"rmbl",38.65622,-106.86203,4.85,1,232
"Ceratina nanula","F","Almont",2010-08-20,2010,"rmbl",38.65622,-106.86203,4.85,1,232
"Melissodes lutulentus","F","Almont",2010-08-20,2010,"rmbl",38.65622,-106.86203,4.85,3,232
"Dianthidium heterulkei","F","Almont",2010-08-20,2010,"rmbl",38.65622,-106.86203,4.85,3,232
"Lasioglossum prasinogaster","F","Almont",2010-08-20,2010,"rmbl",38.65622,-106.86203,4.85,7,232
"Lasioglossum sedi","F","Almont",2010-08-20,2010,"rmbl",38.65622,-106.86203,4.85,1,232
"Lasioglossum trizonatum","F","Almont",2010-09-02,2010,"rmbl",38.65622,-106.86203,5.83333333333333,2,245
"Agapostemon texanus","F","Almont",2010-09-02,2010,"rmbl",38.65622,-106.86203,5.83333333333333,2,245
"Calliopsis coloradensis","F","Almont",2010-09-02,2010,"rmbl",38.65622,-106.86203,5.83333333333333,1,245
"Lasioglossum prasinogaster","F","Almont",2010-09-02,2010,"rmbl",38.65622,-106.86203,5.83333333333333,8,245
"Ceratina nanula","F","Almont",2010-09-02,2010,"rmbl",38.65622,-106.86203,5.83333333333333,5,245
"Lasioglossum ruidosense","F","Almont",2010-09-02,2010,"rmbl",38.65622,-106.86203,5.83333333333333,1,245
"Dianthidium heterulkei","F","Almont",2010-09-02,2010,"rmbl",38.65622,-106.86203,5.83333333333333,1,245
"Lasioglossum semicaeruleum","F","Almont",2010-09-02,2010,"rmbl",38.65622,-106.86203,5.83333333333333,1,245
"Halictus tripartitus","F","Almont",2010-09-02,2010,"rmbl",38.65622,-106.86203,5.83333333333333,1,245
"Pseudopanurgus bakeri","F","Almont",2010-09-02,2010,"rmbl",38.65622,-106.86203,5.83333333333333,1,245
"Eucera fulvitarsis","F","Almont",2011-06-16,2011,"rmbl",38.65622,-106.86203,4.5,1,167
"Ceratina nanula","F","Almont",2011-06-16,2011,"rmbl",38.65622,-106.86203,4.5,1,167
"Lasioglossum prasinogaster","F","Almont",2011-06-16,2011,"rmbl",38.65622,-106.86203,4.5,5,167
"Ceratina nanula","M","Almont",2011-06-16,2011,"rmbl",38.65622,-106.86203,4.5,1,167
"Hoplitis producta","F","Almont",2011-07-01,2011,"rmbl",38.65622,-106.86203,4.43333333333333,1,182
"Halictus tripartitus","F","Almont",2011-07-01,2011,"rmbl",38.65622,-106.86203,4.43333333333333,1,182
"Lasioglossum prasinogaster","F","Almont",2011-07-01,2011,"rmbl",38.65622,-106.86203,4.43333333333333,6,182
"Hoplitis albifrons","F","Almont",2011-07-01,2011,"rmbl",38.65622,-106.86203,4.43333333333333,1,182
"Ceratina nanula","F","Almont",2011-07-01,2011,"rmbl",38.65622,-106.86203,4.43333333333333,3,182
"Agapostemon texanus","F","Almont",2011-07-14,2011,"rmbl",38.65622,-106.86203,6.01666666666667,1,195
"Osmia ednae","F","Almont",2011-07-14,2011,"rmbl",38.65622,-106.86203,6.01666666666667,1,195
"Halictus tripartitus","F","Almont",2011-07-14,2011,"rmbl",38.65622,-106.86203,6.01666666666667,20,195
"Lasioglossum sedi","F","Almont",2011-07-14,2011,"rmbl",38.65622,-106.86203,6.01666666666667,5,195
"Lasioglossum prasinogaster","F","Almont",2011-07-14,2011,"rmbl",38.65622,-106.86203,6.01666666666667,58,195
"Lasioglossum occidentale","F","Almont",2011-07-14,2011,"rmbl",38.65622,-106.86203,6.01666666666667,4,195
"Lasioglossum prasinogaster","M","Almont",2011-07-14,2011,"rmbl",38.65622,-106.86203,6.01666666666667,1,195
"Andrena prunorum","F","Almont",2011-07-14,2011,"rmbl",38.65622,-106.86203,6.01666666666667,1,195
"Hoplitis producta","F","Almont",2011-07-14,2011,"rmbl",38.65622,-106.86203,6.01666666666667,1,195
"Dianthidium heterulkei","F","Almont",2011-07-28,2011,"rmbl",38.65622,-106.86203,5.85,4,209
"Halictus tripartitus","F","Almont",2011-07-28,2011,"rmbl",38.65622,-106.86203,5.85,12,209
"Lasioglossum abundipunctum","F","Almont",2011-07-28,2011,"rmbl",38.65622,-106.86203,5.85,1,209
"Lasioglossum prasinogaster","F","Almont",2011-07-28,2011,"rmbl",38.65622,-106.86203,5.85,10,209
"Calliopsis coloradensis","F","Almont",2011-07-28,2011,"rmbl",38.65622,-106.86203,5.85,1,209
"Lasioglossum prasinogaster","M","Almont",2011-07-28,2011,"rmbl",38.65622,-106.86203,5.85,1,209
"Melissodes glenwoodensis","M","Almont",2011-07-28,2011,"rmbl",38.65622,-106.86203,5.85,1,209
"Lasioglossum ruidosense","F","Almont",2011-07-28,2011,"rmbl",38.65622,-106.86203,5.85,1,209
"Lasioglossum obnubilum","F","Almont",2011-07-28,2011,"rmbl",38.65622,-106.86203,5.85,1,209
"Dianthidium heterulkei","F","Almont",2011-08-09,2011,"rmbl",38.65622,-106.86203,5.66666666666667,3,221
"Calliopsis coloradensis","F","Almont",2011-08-09,2011,"rmbl",38.65622,-106.86203,5.66666666666667,1,221
"Lasioglossum prasinogaster","F","Almont",2011-08-09,2011,"rmbl",38.65622,-106.86203,5.66666666666667,4,221
"Ceratina nanula","F","Almont",2011-08-09,2011,"rmbl",38.65622,-106.86203,5.66666666666667,1,221
"Ceratina nanula","M","Almont",2011-08-09,2011,"rmbl",38.65622,-106.86203,5.66666666666667,1,221
"Megachile melanophaea","F","Almont",2011-08-26,2011,"rmbl",38.65622,-106.86203,5.48333333333333,1,238
"Dianthidium heterulkei","F","Almont",2011-08-26,2011,"rmbl",38.65622,-106.86203,5.48333333333333,1,238
"Lasioglossum prasinogaster","F","Almont",2011-08-26,2011,"rmbl",38.65622,-106.86203,5.48333333333333,1,238
"Agapostemon texanus","F","Almont",2011-08-26,2011,"rmbl",38.65622,-106.86203,5.48333333333333,1,238
"Agapostemon texanus","F","Almont",2011-09-12,2011,"rmbl",38.65622,-106.86203,6.11666666666667,2,255
"Agapostemon texanus","M","Almont",2011-09-12,2011,"rmbl",38.65622,-106.86203,6.11666666666667,4,255
"Dianthidium heterulkei","F","Almont",2011-09-12,2011,"rmbl",38.65622,-106.86203,6.11666666666667,2,255
"Megachile pugnata","F","Almont",2011-09-12,2011,"rmbl",38.65622,-106.86203,6.11666666666667,1,255
"Eucera fulvitarsis","M","Almont",2012-04-17,2012,"rmbl",38.65622,-106.86203,6.33333333333333,6,108
"Andrena transnigra","M","Almont",2012-04-17,2012,"rmbl",38.65622,-106.86203,6.33333333333333,1,108
"Andrena lawrencei","M","Almont",2012-04-17,2012,"rmbl",38.65622,-106.86203,6.33333333333333,8,108
"Lasioglossum trizonatum","F","Almont",2012-04-17,2012,"rmbl",38.65622,-106.86203,6.33333333333333,22,108
"Andrena lawrencei","F","Almont",2012-04-17,2012,"rmbl",38.65622,-106.86203,6.33333333333333,2,108
"Lasioglossum sedi","F","Almont",2012-04-17,2012,"rmbl",38.65622,-106.86203,6.33333333333333,6,108
"Lasioglossum ruidosense","F","Almont",2012-04-17,2012,"rmbl",38.65622,-106.86203,6.33333333333333,8,108
"Lasioglossum inconditum","F","Almont",2012-04-17,2012,"rmbl",38.65622,-106.86203,6.33333333333333,1,108
"Lasioglossum prasinogaster","F","Almont",2012-04-17,2012,"rmbl",38.65622,-106.86203,6.33333333333333,33,108
"Lasioglossum semicaeruleum","F","Almont",2012-04-17,2012,"rmbl",38.65622,-106.86203,6.33333333333333,1,108
"Andrena nothocalaidis","M","Almont",2012-04-17,2012,"rmbl",38.65622,-106.86203,6.33333333333333,1,108
"Ceratina nanula","M","Almont",2012-04-17,2012,"rmbl",38.65622,-106.86203,6.33333333333333,1,108
"Andrena lawrencei","F","Almont",2012-04-30,2012,"rmbl",38.65622,-106.86203,7,7,121
"Osmia californica","M","Almont",2012-04-30,2012,"rmbl",38.65622,-106.86203,7,24,121
"Agapostemon texanus","F","Almont",2012-04-30,2012,"rmbl",38.65622,-106.86203,7,4,121
"Osmia californica","F","Almont",2012-04-30,2012,"rmbl",38.65622,-106.86203,7,4,121
"Lasioglossum trizonatum","F","Almont",2012-04-30,2012,"rmbl",38.65622,-106.86203,7,42,121
"Osmia (acanthosmioides)","F","Almont",2012-04-30,2012,"rmbl",38.65622,-106.86203,7,1,121
"Andrena transnigra","M","Almont",2012-04-30,2012,"rmbl",38.65622,-106.86203,7,1,121
"Andrena auricoma","F","Almont",2012-04-30,2012,"rmbl",38.65622,-106.86203,7,1,121
"Andrena lawrencei","M","Almont",2012-04-30,2012,"rmbl",38.65622,-106.86203,7,3,121
"Andrena nothocalaidis","M","Almont",2012-04-30,2012,"rmbl",38.65622,-106.86203,7,2,121
"Lasioglossum prasinogaster","F","Almont",2012-04-30,2012,"rmbl",38.65622,-106.86203,7,51,121
"Lasioglossum sedi","F","Almont",2012-04-30,2012,"rmbl",38.65622,-106.86203,7,17,121
"Ceratina nanula","F","Almont",2012-04-30,2012,"rmbl",38.65622,-106.86203,7,7,121
"Lasioglossum ruidosense","F","Almont",2012-04-30,2012,"rmbl",38.65622,-106.86203,7,5,121
"Lasioglossum occidentale","F","Almont",2012-04-30,2012,"rmbl",38.65622,-106.86203,7,3,121
"Ceratina nanula","M","Almont",2012-04-30,2012,"rmbl",38.65622,-106.86203,7,2,121
"Anthophora ursina","M","Almont",2012-04-30,2012,"rmbl",38.65622,-106.86203,7,1,121
"Osmia subaustralis","F","Almont",2012-04-30,2012,"rmbl",38.65622,-106.86203,7,2,121
"Lasioglossum cooleyi","F","Almont",2012-04-30,2012,"rmbl",38.65622,-106.86203,7,2,121
"Osmia mertensiae","M","Almont",2012-04-30,2012,"rmbl",38.65622,-106.86203,7,1,121
"Osmia trevoris","M","Almont",2012-04-30,2012,"rmbl",38.65622,-106.86203,7,1,121
"Osmia bruneri","M","Almont",2012-04-30,2012,"rmbl",38.65622,-106.86203,7,2,121
"Andrena nothocalaidis","F","Almont",2012-04-30,2012,"rmbl",38.65622,-106.86203,7,1,121
"Halictus virgatellus","F","Almont",2012-04-30,2012,"rmbl",38.65622,-106.86203,7,1,121
"Eucera fulvitarsis","M","Almont",2012-04-30,2012,"rmbl",38.65622,-106.86203,7,1,121
"Osmia marginipennis","M","Almont",2012-04-30,2012,"rmbl",38.65622,-106.86203,7,1,121
"Osmia corkinsi","F","Almont",2012-04-30,2012,"rmbl",38.65622,-106.86203,7,1,121
"Halictus tripartitus","F","Almont",2012-04-30,2012,"rmbl",38.65622,-106.86203,7,1,121
"Halictus confusus","F","Almont",2012-04-30,2012,"rmbl",38.65622,-106.86203,7,1,121
"Ceratina neomexicana","M","Almont",2012-04-30,2012,"rmbl",38.65622,-106.86203,7,1,121
"Lasioglossum trizonatum","F","Almont",2012-05-19,2012,"rmbl",38.65622,-106.86203,6,8,140
"Agapostemon texanus","F","Almont",2012-05-19,2012,"rmbl",38.65622,-106.86203,6,10,140
"Lasioglossum prasinogaster","F","Almont",2012-05-19,2012,"rmbl",38.65622,-106.86203,6,20,140
"Atoposmia elongata","M","Almont",2012-05-19,2012,"rmbl",38.65622,-106.86203,6,1,140
"Lasioglossum occidentale","F","Almont",2012-05-19,2012,"rmbl",38.65622,-106.86203,6,2,140
"Osmia trevoris","M","Almont",2012-05-19,2012,"rmbl",38.65622,-106.86203,6,2,140
"Osmia brevis","M","Almont",2012-05-19,2012,"rmbl",38.65622,-106.86203,6,1,140
"Andrena nothocalaidis","F","Almont",2012-05-19,2012,"rmbl",38.65622,-106.86203,6,1,140
"Osmia bruneri","F","Almont",2012-05-19,2012,"rmbl",38.65622,-106.86203,6,1,140
"Halictus tripartitus","F","Almont",2012-05-19,2012,"rmbl",38.65622,-106.86203,6,1,140
"Halictus confusus","F","Almont",2012-05-19,2012,"rmbl",38.65622,-106.86203,6,1,140
"Ceratina nanula","M","Almont",2012-05-19,2012,"rmbl",38.65622,-106.86203,6,1,140
"Eucera fulvitarsis","F","Almont",2012-05-31,2012,"rmbl",38.65622,-106.86203,6.38333333333333,1,152
"Agapostemon texanus","F","Almont",2012-05-31,2012,"rmbl",38.65622,-106.86203,6.38333333333333,8,152
"Lasioglossum trizonatum","F","Almont",2012-05-31,2012,"rmbl",38.65622,-106.86203,6.38333333333333,2,152
"Ashmeadiella opuntiae","F","Almont",2012-05-31,2012,"rmbl",38.65622,-106.86203,6.38333333333333,5,152
"Osmia giliarum","F","Almont",2012-05-31,2012,"rmbl",38.65622,-106.86203,6.38333333333333,1,152
"Osmia brevis","F","Almont",2012-05-31,2012,"rmbl",38.65622,-106.86203,6.38333333333333,1,152
"Dianthidium heterulkei","M","Almont",2012-05-31,2012,"rmbl",38.65622,-106.86203,6.38333333333333,1,152
"Osmia corkinsi","F","Almont",2012-05-31,2012,"rmbl",38.65622,-106.86203,6.38333333333333,1,152
