"site","year","species","sex","date","ab","site","year","species","sex"
"Almont",2010,"Lasioglossum trizonatum","F",2010-06-27,1,"Almont",2010,"Lasioglossum trizonatum","F"
"Almont",2010,"Lasioglossum trizonatum","F",2010-07-10,1,"Almont",2010,"Lasioglossum trizonatum","F"
"Almont",2010,"Lasioglossum trizonatum","F",2010-07-24,1,"Almont",2010,"Lasioglossum trizonatum","F"
"Almont",2010,"Lasioglossum trizonatum","F",2010-08-11,0,"Almont",2010,"Lasioglossum trizonatum","F"
"Almont",2010,"Lasioglossum trizonatum","F",2010-08-20,0,"Almont",2010,"Lasioglossum trizonatum","F"
"Almont",2010,"Lasioglossum trizonatum","F",2010-09-02,2,"Almont",2010,"Lasioglossum trizonatum","F"
"Almont",2010,"Dianthidium heterulkei","F",2010-06-27,1,"Almont",2010,"Dianthidium heterulkei","F"
"Almont",2010,"Dianthidium heterulkei","F",2010-07-10,0,"Almont",2010,"Dianthidium heterulkei","F"
"Almont",2010,"Dianthidium heterulkei","F",2010-07-24,1,"Almont",2010,"Dianthidium heterulkei","F"
"Almont",2010,"Dianthidium heterulkei","F",2010-08-11,1,"Almont",2010,"Dianthidium heterulkei","F"
"Almont",2010,"Dianthidium heterulkei","F",2010-08-20,3,"Almont",2010,"Dianthidium heterulkei","F"
"Almont",2010,"Dianthidium heterulkei","F",2010-09-02,1,"Almont",2010,"Dianthidium heterulkei","F"
"Almont",2010,"Lasioglossum prasinogaster","F",2010-06-27,5,"Almont",2010,"Lasioglossum prasinogaster","F"
"Almont",2010,"Lasioglossum prasinogaster","F",2010-07-10,54,"Almont",2010,"Lasioglossum prasinogaster","F"
"Almont",2010,"Lasioglossum prasinogaster","F",2010-07-24,15,"Almont",2010,"Lasioglossum prasinogaster","F"
"Almont",2010,"Lasioglossum prasinogaster","F",2010-08-11,12,"Almont",2010,"Lasioglossum prasinogaster","F"
"Almont",2010,"Lasioglossum prasinogaster","F",2010-08-20,7,"Almont",2010,"Lasioglossum prasinogaster","F"
"Almont",2010,"Lasioglossum prasinogaster","F",2010-09-02,8,"Almont",2010,"Lasioglossum prasinogaster","F"
