"TransectID","SamplEvent","SiteID_Year","apis_abund","prop_apis","TctVolume","TctColor","ColorVolume","VolumeSimple","ColorSimple","trapdays","NTrapsFinal","Abundance","AbundDayTrap"
"DC017084ea","DCa69a0eb8","DC38f249d4_2014",0,0,"bowl 12oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 12oz","bowl 12oz","white,FLblue,FLyellow",6.99999999999999,8.99999999999999,32,0.507936507936509
"DC045e2ce8","DC4051b001","DCada152f9_2015",0,0,"bowl 12oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 12oz","bowl 12oz","white,FLblue,FLyellow",6.99999999999999,8.99999999999999,5,0.0793650793650795
"DC04b430cf","DCcdffd032","DCffd5c80c_2015",0,0,"bowl 12oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 12oz","bowl 12oz","white,FLblue,FLyellow",5,9.00000000000001,15,0.333333333333333
"DC050a4c7b","DC7e075391","DCffd5c80c_2015",0,0,"bowl 12oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 12oz","bowl 12oz","white,FLblue,FLyellow",6.99999999999999,8.99999999999999,10,0.158730158730159
"DC05fef983","DC87940cb2","DC3ca754d2_2011",0,0,"bowl 3.25oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 3.25oz","bowl 3.25oz","white,FLblue,FLyellow",1,5,6,1.2
"DC06139a2f","DCe6319dee","DC6f38bb28_2004",0,0,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,15,26,1.73333333333333
"DC06c5bd28","DC9f761eb5","DC360d8641_2014",0,0,"bowl 12oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 12oz","bowl 12oz","white,FLblue,FLyellow",6.99999999999999,8.99999999999999,32,0.507936507936509
"DC0750cfaf","DC29481fce","DC3ca754d2_2013",0,0,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,6.99999999999999,9,1.28571428571429
"DC07eddf7e","DC59a6d418","DC2557f2c0_2004",1,0.027027027027027,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,14,36,2.57142857142857
"DC083c247c","DC9fe2aa06","DC38f249d4_2015",1,0.024390243902439,"bowl 12oz","white,FLblue,FLyellow","white,FLblue,FLyellowbowl 12oz","bowl 12oz","white,FLblue,FLyellow",6.99999999999999,8.99999999999999,40,0.634920634920636
"DC0c388db5","DC29dba6df","DC6edc67f7_2004",0,0,"bowl 3.25oz","blue,yellow,white","blue,yellow,whitebowl 3.25oz","bowl 3.25oz","blue,yellow,white",1,15,9,0.6
