"type","skewness"
"wind",-0.308
"wind",1.008
"wind",0.889
"wind",0.859
"wind",1.037
"wind",1.481
"wind",0.322
"wind",0.172
"wind",0.485
"wind",-0.578
"wind",0.096
"wind",-0.285
"wind",0.101
"wind",-0.12
"wind",1.049
"wind",-0.378
"wind",-0.363
"wind",0.308
"wind",-0.428
"insect",-0.008
"insect",0.652
"insect",0.678
"insect",0.12
"insect",2.345
"insect",0.424
"insect",0.5
"insect",0.561
"insect",0.373
"insect",0.069
"insect",0.069
"insect",0.479
"insect",1.145
"insect",0.68
"insect",0.424
"insect",0.781
"insect",-0.199
"insect",0.188
"insect",-0.31
"insect",0.586
"insect",1.727
"insect",-0.143
"insect",0.094
"insect",0.303
"insect",-0.596
"insect",-0.113
"insect",1.119
"insect",0.568
"insect",0.27
"insect",0.532
"insect",0.519
"insect",0.213
"other",-0.051
"other",-0.326
"other",0.45
"other",0.923
"other",2.99
"other",0.479
"other",0.159
