unique_id,year,date_sampled,doy,times_sampled,block,site,site_type,time,plant_species,collector,family,genus,genus_species,caste,tongue,notes
1,2009,22-Jun,173,1,A,Davids,dry,AM,"Delphinium nuttallianum","R. Irwin",Apidae,Bombus,appositus,Q,long,
2,2009,22-Jun,173,1,A,Davids,dry,AM,"Delphinium nuttallianum","R. Irwin",Apidae,Bombus,appositus,Q,long,
3,2009,22-Jun,173,1,A,Davids,dry,AM,"Senecio integerrimus","R. Irwin",Apidae,Bombus,appositus,Q,long,
4,2009,22-Jun,173,1,A,Davids,dry,AM,"Senecio integerrimus","R. Irwin",Apidae,Bombus,flavifrons,Q,medium,
5,2009,22-Jun,173,1,A,Davids,dry,PM,"Delphinium nuttallianum","J. Mola",Apidae,Bombus,flavifrons,Q,medium,
6,2009,22-Jun,173,1,A,Davids,dry,PM,"Delphinium nuttallianum","J. Mola",Apidae,Bombus,flavifrons,Q,medium,
7,2009,22-Jun,173,1,A,Davids,dry,PM,"Delphinium nuttallianum","J. Mola",Apidae,Bombus,flavifrons,Q,medium,
8,2009,22-Jun,173,1,A,Davids,dry,PM,"Senecio integerrimus","J. Mola",Apidae,Bombus,sylvicola,Q,short,
9,2009,22-Jun,173,1,A,Tuttle,veratrum,AM,Unknown,"J. Mola",Apidae,Bombus,appositus,Q,long,
10,2009,22-Jun,173,1,A,Tuttle,veratrum,AM,Unknown,"J. Mola",Apidae,Bombus,sylvicola,Q,short,
11,2009,22-Jun,173,1,A,Tuttle,veratrum,AM,Unknown,"R. Diaz",Apidae,Bombus,flavifrons,Q,medium,
12,2009,22-Jun,173,1,A,Tuttle,veratrum,AM,Unknown,"R. Diaz",Apidae,Bombus,sylvicola,Q,short,
13,2009,22-Jun,173,1,A,Tuttle,veratrum,PM,"in flight","R. Diaz",Apidae,Bombus,fervidus,Q,long,
14,2009,22-Jun,173,1,A,Tuttle,veratrum,PM,"in flight","R. Diaz",Apidae,Bombus,flavifrons,Q,medium,
15,2009,22-Jun,173,1,A,Willey,willow,PM,"Draba aurea","R. Diaz",Apidae,Bombus,fervidus,Q,long,
16,2009,01-Jul,182,1,B,Beaver,veratrum,AM,"in flight","P. Howel",Apidae,Bombus,occidentalis,unknown,short,
17,2009,01-Jul,182,1,B,Seans,dry,AM,"in flight","J. Mola",Apidae,Bombus,appositus,W,long,
18,2009,01-Jul,182,1,B,Seans,dry,AM,"in flight","J. Mola",Apidae,Bombus,occidentalis,unknown,short,
19,2009,06-Jul,187,2,A,Davids,dry,AM,"Senecio integerrimus","J. Mola",Apidae,Bombus,appositus,W,long,
20,2009,06-Jul,187,2,A,Davids,dry,AM,"Senecio integerrimus",TM,Apidae,Bombus,bifarius,unknown,short,
21,2009,06-Jul,187,2,A,Davids,dry,PM,"Helianthella quinquenervis","C. Donohar",Apidae,Bombus,flavifrons,unknown,medium,
22,2009,06-Jul,187,2,A,Davids,dry,PM,"in flight",TM,Apidae,Bombus,appositus,unknown,long,
23,2009,06-Jul,187,2,A,Davids,dry,PM,"Eriogonum umbellatum",TM,Apidae,Bombus,bifarius,W,short,
24,2009,06-Jul,187,2,A,Davids,dry,PM,"in flight",TM,Apidae,Bombus,insularis,unknown,short,
25,2009,06-Jul,187,2,A,Davids,dry,PM,"in flight",TM,Apidae,Bombus,nevadensis,W,long,
26,2009,06-Jul,187,2,A,Tuttle,veratrum,AM,"Delphinium barbeyi","C. Donohar",Apidae,Bombus,flavifrons,unknown,medium,
27,2009,06-Jul,187,2,A,Tuttle,veratrum,AM,"Delphinium barbeyi",TM,Apidae,Bombus,appositus,unknown,long,
28,2009,06-Jul,187,2,A,Tuttle,veratrum,AM,"in flight",TM,Apidae,Bombus,appositus,unknown,long,
29,2009,06-Jul,187,2,A,Tuttle,veratrum,AM,"Lupinus polyphyllus",TM,Apidae,Bombus,appositus,unknown,long,
30,2009,06-Jul,187,2,A,Tuttle,veratrum,AM,"Lupinus polyphyllus",TM,Apidae,Bombus,appositus,unknown,long,
31,2009,06-Jul,187,2,A,Tuttle,veratrum,AM,"in flight",TM,Apidae,Bombus,bifarius,unknown,short,
