"onset","peak","end","onset_se","peak_se","end_se","onset_val","peak_val","end_val","species","site","year"
"206.2","221.21",NA,"9.33080534238193","52.3368592387422",NA,"0.0121419657034715","0.242637569485313",NA,"Calliopsis teucrii","Davids","2009"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dufourea harveyi","Copper","2009"
"205.69","209.19","212.84","22483757.8055538","257397859.371304","60019805.9983674","0.0390989173462124","0.778214730233878","0.0395187593344008","Dufourea harveyi","Hill","2009"
"198.42","210.98","226","8.11297902162663","42.2342754983281","5.29790654102398","0.103512607432087","2.06925161635883","0.103677731119717","Dufourea harveyi","Little","2009"
"195.24",NA,NA,"3.79166864298567",NA,NA,"0.0506673763369491",NA,NA,"Dufourea harveyi","Seans","2009"
"201.5",NA,NA,"4.53659312190725",NA,NA,"0.0919611786957169",NA,NA,"Dufourea harveyi","Tuttle","2009"
"227.97",NA,NA,"2264428.1366036",NA,NA,"0.0238616575174884",NA,NA,"Dufourea harveyi","Willey","2009"
"203.5",NA,NA,"4.76597594436331",NA,NA,"0.0255864601529785",NA,NA,"Dufourea maura","Davids","2009"
NA,"203.94","219.19",NA,"34.5311490829625","8.91382187070691",NA,"0.33139410204811","0.0166223287860318","Dufourea maura","Hill","2009"
NA,"190.43","206.49",NA,"42.2183995633392","7.59637171205426",NA,"0.258756526584946","0.0129746510270809","Halictus rubicundus","Beaver","2009"
"235.14",NA,NA,"2057983.5867142",NA,NA,"0.042527571987788",NA,NA,"Halictus rubicundus","Copper","2009"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Halictus rubicundus","Tuttle","2009"
NA,NA,"174.03",NA,NA,"2235539.03230357",NA,NA,"0.0114032407043422","Halictus rubicundus","Willey","2009"
NA,NA,"198.38",NA,NA,"4.83775147511131",NA,NA,"0.110625838480787","Halictus virgatellus","Beaver","2009"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Halictus virgatellus","Copper","2009"
NA,NA,"195.1",NA,NA,"5.22205339914677",NA,NA,"0.0424015827957256","Halictus virgatellus","Davids","2009"
NA,NA,"183.04",NA,NA,"2459710.3883",NA,NA,"0.0276003510249164","Halictus virgatellus","Gothic","2009"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Halictus virgatellus","Hill","2009"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Halictus virgatellus","Little","2009"
NA,NA,"223.25",NA,NA,"3.127683551604",NA,NA,"0.0316626584767325","Halictus virgatellus","Seans","2009"
NA,NA,"204.71",NA,NA,"4.19077814533658",NA,NA,"0.222758834719515","Halictus virgatellus","Tuttle","2009"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Halictus virgatellus","Willey","2009"
"227.97",NA,NA,"2264428.1366036",NA,NA,"0.00806022121134411",NA,NA,"Hoplitis robusta","Davids","2009"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoplitis robusta","Willey","2009"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hylaeus annulatus","Beaver","2009"
"199.37","215.37","231.59","8.5590022310301","59.4779715750242","7.98698555219289","0.124990531791074","2.4969285654312","0.124894638894883","Hylaeus annulatus","Copper","2009"
"206.15",NA,NA,"4.96302372380005",NA,NA,"0.066810030994371",NA,NA,"Hylaeus annulatus","Davids","2009"
"204.52","220.26","233.05","5.71795006486075","46.9477041522628","7.76928168125199","0.25938288616995","5.17756032267122","0.258899570049859","Hylaeus annulatus","Little","2009"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hylaeus annulatus","Tuttle","2009"
"213.08",NA,NA,"5.99228701149605",NA,NA,"0.103662397326134",NA,NA,"Hylaeus annulatus","Willey","2009"
"227.97",NA,NA,"2264428.1366036",NA,NA,"0.0318155433566512",NA,NA,"Hylaeus basalis","Willey","2009"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lasioglossum inconditum","Davids","2009"
NA,"190.22","206.6",NA,"40.853440272281","7.35879084523468",NA,"0.705329800076967","0.035278882080388","Lasioglossum inconditum","Seans","2009"
NA,NA,"204.85",NA,NA,"4.52153118038083",NA,NA,"0.0362822787576247","Lasioglossum inconditum","Tuttle","2009"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lasioglossum inconditum","Willey","2009"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lasioglossum nigrum","Davids","2009"
NA,NA,"195.92",NA,NA,"2157529.57111255",NA,NA,"0.0187391284342177","Lasioglossum nigrum","Little","2009"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lasioglossum nigrum","Tuttle","2009"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lasioglossum nigrum","Willey","2009"
NA,NA,"174.03",NA,NA,"2235539.03230357",NA,NA,"0.016666274875577","Lasioglossum obnubilum","Davids","2009"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lasioglossum ruidosense","Beaver","2009"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lasioglossum ruidosense","Copper","2009"
NA,NA,"195.1",NA,NA,"5.22205339914677",NA,NA,"0.0424015827957256","Lasioglossum ruidosense","Davids","2009"
"218.9","222.45","225.82","80819996.6019578","430532958.618899","23080909.8612329","0.0336120704662455","0.661696484113154","0.0335075498133645","Lasioglossum ruidosense","Little","2009"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lasioglossum ruidosense","Tuttle","2009"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lasioglossum ruidosense","Willey","2009"
NA,NA,"183.04",NA,NA,"2459710.3883",NA,NA,"0.0260454016714","Lasioglossum sedi","Beaver","2009"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lasioglossum sedi","Copper","2009"
NA,NA,"210.59",NA,NA,"3.86401227544379",NA,NA,"0.539686969805604","Lasioglossum sedi","Davids","2009"
NA,NA,"183.04",NA,NA,"2459710.3883",NA,NA,"0.0460005850415273","Lasioglossum sedi","Gothic","2009"
NA,NA,"195.92",NA,NA,"2157529.57111255",NA,NA,"0.0281086926513265","Lasioglossum sedi","Little","2009"
NA,NA,"210.86",NA,NA,"3.60802026944934",NA,NA,"0.312634632659859","Lasioglossum sedi","Seans","2009"
NA,NA,"202.64",NA,NA,"4.17129798594265",NA,NA,"0.195301598145831","Lasioglossum sedi","Tuttle","2009"
NA,NA,"215.87",NA,NA,"3.96777568160281",NA,NA,"0.134946885777421","Lasioglossum sedi","Willey","2009"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lasioglossum tenax","Willey","2009"
"205.69","209.19","212.84","22483757.8055538","257397859.371304","60019805.9983674","0.0794120867839222","1.58059761979179","0.0802648093313608","Panurginus cressoniellus","Copper","2009"
