year,date_sampled,site,block,doy,times_sampled,habitat_type,bowls_down,bowls_up,bowl_time,start_am,am_nettime_hrs,am_netters,start_pm,pm_nettime_hrs,pm_netters,total_time,high_temp,wind,cloud_cover,precip,notes
2009,22-Jun,Willey,A,173,1,Willow,8:58,17:50,8:52,12:54,1,"J. Welch, R. Diaz, R. Irwin",17:42,1,"J. Welch, R. Diaz",2,,,,,
2009,22-Jun,Tuttle,A,173,1,Veratrum,9:25,17:16,7:51,11:11,1,"J. Welch, R. Diaz",16:33,1,"J. Welch, R. Diaz",2,,,,,
2009,22-Jun,Davids,A,173,1,Dry,10:11,16:15,6:04,10:21,1,"J. Welch, R. Diaz, R. Irwin",14:54,1,"J. Welch, R. Diaz",2,22,"1 SW",0,0,
2009,01-Jul,Gothic,B,182,1,Willow,9:05,14:40,5:35,8:47,1,"J. Welch, P. Howel",13:20,1,"J. Welch",2,,,,,
2009,01-Jul,Beaver,B,182,1,Veratrum,9:51,15:46,5:55,9:34,1,"J. Welch, P. Howel",14:48,0.67,"J. Welch",1.67,,,,,
2009,01-Jul,Seans,B,182,1,Dry,10:50,17:05,6:15,10:36,1,"J. Welch, P. Howel",16:13,0.53,"J. Welch",1.53,25.5,"0 SW",1,0,
2009,06-Jul,Davids,A,187,2,Dry,8:49,14:45,5:56,8:50,1,"J. Welch, DC, TM",14:18,1,"DC, TM",2,,,,,
2009,06-Jul,Tuttle,A,187,2,Veratrum,9:46,15:35,5:49,9:43,1,"J. Welch, DC, TM",15:17,1,"DC, TM, DH",2,,,,,
2009,06-Jul,Willey,A,187,2,Willow,10:30,15:56,5:26,10:25,1,"J. Welch, DC, TM",15:42,1,"DC, TM, DH",2,22,"2 W",2,0,
2009,08-Jul,Avery,C,189,1,Veratrum,8:50,14:43,5:53,8:52,1,"J. Welch, R. Diaz",13:56,1,"J. Welch, R. Diaz",2,,,,,
2009,08-Jul,Marriage,C,189,1,Dry,9:41,15:41,6:00,9:43,1,"J. Welch, R. Diaz",14:57,1,"J. Welch, R. Diaz",2,,,,,
2009,08-Jul,Parking,C,189,1,Willow,10:32,16:24,5:52,10:33,1,"J. Welch, R. Diaz",15:46,1,"J. Welch, R. Diaz",2,24,"2 W",0,0,
2009,14-Jul,Little,D,195,1,Veratrum,9:00,14:23,5:23,9:02,1,"J. Welch, DC, TM",13:25,1,"J. Welch, R. Diaz",2,,,,,
2009,14-Jul,Copper,D,195,1,Willow,9:46,15:19,5:33,9:48,1,"J. Welch, DC, TM",14:31,1,"J. Welch, R. Diaz",2,,,,,
2009,14-Jul,Hill,D,195,1,Dry,10:42,16:15,5:33,10:44,1,"J. Welch, DC, TM",15:28,1,"J. Welch, R. Diaz",2,24,"0 W",0,0,
2009,16-Jul,Seans,B,197,2,Dry,9:07,15:39,6:32,9:09,1,"J. Welch, Z. Gezon",14:52,1,"J. Welch, Z. Gezon",2,,,,,
2009,16-Jul,Gothic,B,197,2,Willow,10:41,16:47,6:06,10:42,1,"J. Welch, Z. Gezon",16:04,1,"J. Welch, Z. Gezon",2,,,,,
2009,16-Jul,Beaver,B,197,2,Veratrum,11:44,17:38,5:54,11:45,1,"J. Welch, Z. Gezon",16:53,1,"J. Welch, Z. Gezon",2,25,"2 W",0,0,
2009,22-Jul,Davids,A,203,3,Dry,8:44,15:04,6:20,9:47,0.68,"J. Welch, C. Donohar",13:48,1,"J. Welch",1.68,,,,,
2009,22-Jul,Tuttle,A,203,3,Veratrum,10:53,16:33,5:40,10:54,1,"J. Welch, C. Donohar",15:21,1,"J. Welch",2,,,,,
2009,22-Jul,Willey,A,203,3,Willow,11:39,17:48,6:09,11:40,0.83,"J. Welch, C. Donohar",16:38,1,"J. Welch",1.83,"25.0 C","2 W",2,0,
2009,24-Jul,Avery,C,205,2,Veratrum,9:05,13:58,4:53,9:07,1,"J. Welch, R. Diaz",12:43,1,"J. Welch",2,,,,,
2009,24-Jul,Marriage,C,205,2,Dry,10:15,15:32,5:17,10:16,1,"J. Welch, R. Diaz",14:15,1,"J. Welch",2,,,,,
2009,24-Jul,Parking,C,205,2,Willow,11:08,16:33,5:25,11:09,1,"J. Welch, R. Diaz",15:38,1,"J. Welch",2,"25.5 C","1 W",1,0,
2009,27-Jul,Copper,D,208,2,Willow,9:10,14:32,5:22,9:11,1,"J. Welch, TM",13:50,1,"J. Welch, TM, R. Diaz",2,,,,,
2009,27-Jul,Little,D,208,2,Veratrum,10:20,14:52,4:32,10:21,1,"J. Welch, TM",14:35,1,"TM, R. Diaz",2,,,,,
2009,27-Jul,Hill,D,208,2,Dry,11:34,15:12,3:38,11:43,1,"J. Welch, TM",15:12,1,"J. Welch, TM, R. Diaz",2,"23.5 C","0 W",2,0,
2009,29-Jul,Seans,B,210,3,Dry,8:41,14:01,5:20,8:42,1,"J. Welch, TM",14:03,0.5,"J. Welch, R. Diaz",1.5,,,,,
2009,29-Jul,Gothic,B,210,3,Willow,10:01,14:47,4:46,10:02,1,"J. Welch, TM",NA,0,NA,1,,,,,
2009,29-Jul,Beaver,B,210,3,Veratrum,11:19,14:55,3:36,11:20,1,"J. Welch, TM",NA,0,NA,1,"19.5 C","1 W",3,0.15,
2009,03-Aug,Davids,A,215,4,Dry,9:03,15:24,6:21,9:04,1,"J. Welch, R. Diaz",14:21,1,"C. Donohar, R. Diaz",2,,,,,
2009,03-Aug,Tuttle,A,215,4,Veratrum,10:59,16:45,5:46,11:00,0.5,"J. Welch, R. Diaz",15:43,0.7,"C. Donohar, R. Diaz",1.2,,,,,
2009,03-Aug,Willey,A,215,4,Willow,11:36,17:09,5:33,11:37,0.52,"J. Welch, R. Diaz",16:48,0.45,"C. Donohar, R. Diaz",0.97,"24 C","1 W",1,0,
2009,05-Aug,Avery,C,217,3,Veratrum,8:51,14:45,5:54,8:52,1,"J. Welch, R. Diaz",13:39,0.58,"C. Donohar, R. Diaz",1.58,,,,,
2009,05-Aug,Marriage,C,217,3,Dry,10:05,15:42,5:37,10:06,1,"J. Welch, R. Diaz",15:02,0.68,"C. Donohar, R. Diaz",1.68,,,,,
2009,05-Aug,Parking,C,217,3,Willow,11:14,16:41,5:27,11:15,0.67,"J. Welch, R. Diaz",15:50,0.52,"C. Donohar, R. Diaz",1.18,"26.5 C","2 SW",2,0.02,
2009,12-Aug,Copper,D,224,3,Willow,9:05,14:50,5:45,9:06,1,"J. Welch, Z. Gezon",14:15,1,"J. Welch, Z. Gezon, PM",2,,,,,
2009,12-Aug,Little,D,224,3,Veratrum,10:02,15:41,5:39,10:03,1,"J. Welch, Z. Gezon",14:56,1,"J. Welch, Z. Gezon, PM",2,,,,,
2009,12-Aug,Hill,D,224,3,Dry,11:02,16:20,5:18,11:03,1,"J. Welch, Z. Gezon",15:49,1,"J. Welch, Z. Gezon, PM",2,"25 C","0 W",1,0,
2009,13-Aug,Seans,B,225,4,Dry,8:53,15:18,6:25,8:58,1,"Z. Gezon",13:53,1,"Z. Gezon",2,,,,,
2009,13-Aug,Gothic,B,225,4,Willow,10:55,16:57,6:02,10:57,1,"Z. Gezon",15:27,1,"Z. Gezon",2,,,,,
2009,13-Aug,Beaver,B,225,4,Veratrum,12:31,18:27,5:56,12:33,1,"Z. Gezon",17:05,1,"Z. Gezon",2,"19 C","2 SW",1,0,
2009,17-Aug,Tuttle,A,230,5,Veratrum,8:55,15:25,6:30,8:57,1,"Z. Gezon",13:45,1,"Z. Gezon",2,,,,,
2009,17-Aug,Willey,A,230,5,Willow,10:31,16:50,6:19,10:32,1,"Z. Gezon",15:28,1,"Z. Gezon",2,,,,,
2009,17-Aug,Davids,A,230,5,Dry,12:26,18:40,6:14,12:28,1,"Z. Gezon",17:22,1,"Z. Gezon",2,"21 C","0 SW",0,0,
2009,19-Aug,Avery,C,232,4,Veratrum,9:15,15:18,6:03,9:17,1,"Z. Gezon",13:38,1,"Z. Gezon",2,,,,,
2009,19-Aug,Marriage,C,232,4,Dry,10:50,16:51,6:01,10:54,1,"Z. Gezon",15:30,1,"Z. Gezon",2,,,,,
2009,19-Aug,Parking,C,232,4,Willow,12:23,18:31,6:08,12:24,1,"Z. Gezon",17:05,1,"Z. Gezon",2,"22 C","0 W",0,0,
2009,24-Aug,Copper,D,237,4,Willow,9:37,14:23,4:46,9:38,1,"Z. Gezon",13:10,1,"Z. Gezon",2,,,,,
2009,24-Aug,Little,D,237,4,Veratrum,10:45,15:40,4:55,10:46,1,"Z. Gezon",14:27,1,"Z. Gezon",2,,,,,
2009,24-Aug,Hill,D,237,4,Dry,11:56,16:52,4:56,11:57,1,"Z. Gezon",15:42,1,"Z. Gezon",2,"14.5 C","3 S",4,0.17,
2010,17-Jun,Beaver,B,168,1,Veratrum,9:18,14:45,5:27,9:20,1,"Z. Gezon, R. Polanco",13:45,1,"Z. Gezon, R. Polanco",2,,,,,
2010,17-Jun,Gothic,B,168,1,Willow,10:20,16:10,5:50,10:20,1,"Z. Gezon, R. Polanco",15:10,1,"Z. Gezon, R. Polanco",2,,,,,
2010,17-Jun,Seans,B,168,1,Dry,11:40,17:45,6:05,11:30,1,"Z. Gezon, R. Polanco",16:35,1,"Z. Gezon, R. Polanco",2,,,,,
2010,18-Jun,Hill,D,169,1,Dry,9:30,13:38,4:08,9:30,1,"Z. Gezon, R. Polanco",12:33,1,"Z. Gezon, R. Polanco",2,,,,,
2010,18-Jun,Little,D,169,1,Veratrum,10:23,14:40,4:17,10:25,1,"Z. Gezon, R. Polanco",13:42,1,"Z. Gezon, R. Polanco",2,,,,,
2010,18-Jun,Copper,D,169,1,Willow,11:20,15:46,4:26,11:20,1,"Z. Gezon, R. Polanco",14:51,1,"Z. Gezon, R. Polanco",2,,,,,
2010,21-Jun,Willey,A,172,1,Willow,10:07,16:05,5:58,10:08,1,"Z. Gezon, R. Polanco",14:58,0.5,"Z. Gezon",1.5,,,,,"Gave Robert afternoon off to work on finding sites and proposal. This was unanticipated, so I couldn't net for the full hour in the afternoon."
2010,21-Jun,Tuttle,A,172,1,Veratrum,9:08,14:55,5:47,9:10,1,"Z. Gezon, R. Polanco",13:12,0.5,"Z. Gezon",1.5,,,,,"Gave Robert afternoon off to work on finding sites and proposal. This was unanticipated, so I couldn't net for the full hour in the afternoon."
2010,21-Jun,Davids,A,172,1,Dry,11:15,17:45,6:30,11:15,1,"Z. Gezon, R. Polanco",16:35,0.5,"Z. Gezon",1.5,,,,,"Gave Robert afternoon off to work on finding sites and proposal. This was unanticipated, so I couldn't net for the full hour in the afternoon."
2010,22-Jun,Beaver,B,173,2,Veratrum,9:57,16:18,6:21,9:57,1,"Z. Gezon, A. Slominski",15:12,1,"Z. Gezon, A. Slominski",2,,,,,
2010,22-Jun,Gothic,B,173,2,Willow,10:48,17:35,6:47,10:48,1,"Z. Gezon, A. Slominski",16:31,1,"Z. Gezon, A. Slominski",2,,,,,
2010,22-Jun,Seans,B,173,2,Dry,7:40,14:50,7:10,7:40,0.67,"Z. Gezon",13:15,1,"Z. Gezon, A. Slominski",1.67,,,,,"Had to start early to compensate for Anthony arriving at 9:00 plus having to be back before noon for the meeting with Becky and Robert."
2010,23-Jun,Hill,D,174,2,Dry,9:13,12:57,3:44,9:14,1,"Z. Gezon, A. Slominski",12:00,1,"Z. Gezon, A. Slominski",2,,,,,
2010,23-Jun,Little,D,174,2,Veratrum,10:06,14:15,4:09,10:06,1,"Z. Gezon, A. Slominski",13:12,1,"Z. Gezon, A. Slominski",2,,,,,
2010,23-Jun,Copper,D,174,2,Willow,10:54,15:35,4:41,10:55,1,"Z. Gezon, A. Slominski",14:38,1,"Z. Gezon, A. Slominski",2,,,,,
2010,25-Jun,"Kettle ponds","Weather station",176,1,"Weather Station",10:56,14:25,3:29,10:00,1,"Z. Gezon, R. Polanco",NA,0,NA,1,,,,,"lightning storm. Called off afternoon netting."
2010,25-Jun,"KP control",Control,176,1,Control,11:19,14:40,3:21,11:20,1,"Z. Gezon, R. Polanco",NA,0,NA,1,,,,,"lightning storm. Called off afternoon netting."
2010,26-Jun,Snodgrass,"Weather station",177,1,"Weather Station",9:55,16:46,6:51,10:20,1,"Z. Gezon",15:00,1,"Z. Gezon",2,,,,,
2010,27-Jun,Almont,"Weather station",178,1,"Weather Station",8:47,14:50,6:03,8:50,1,"Z. Gezon",13:30,1,"Z. Gezon",2,,,,,
2010,05-Jul,Tuttle,A,186,2,Veratrum,9:05,15:50,6:45,9:08,1,"Z. Gezon, R. Polanco",14:37,1,"Z. Gezon, R. Polanco",2,,,,,
2010,05-Jul,Willey,A,186,2,Willow,9:59,17:05,7:06,10:00,1,"Z. Gezon, R. Polanco",16:04,1,"Z. Gezon, R. Polanco",2,,,,,
2010,05-Jul,Davids,A,186,2,Dry,11:07,18:20,7:13,11:07,1,"Z. Gezon, R. Polanco",17:29,1,"Z. Gezon, R. Polanco",2,,,,,
2010,06-Jul,Beaver,B,187,3,Veratrum,9:22,14:30,5:08,9:23,1,"Z. Gezon, R. Polanco",13:21,1,"Z. Gezon, R. Polanco",2,,,,,
2010,06-Jul,Gothic,B,187,3,Willow,10:13,15:57,5:44,10:13,1,"Z. Gezon, R. Polanco",15:00,1,"Z. Gezon, R. Polanco",2,,,,,
2010,06-Jul,Seans,B,187,3,Dry,11:10,17:20,6:10,11:10,1,"Z. Gezon, R. Polanco",16:27,1,"Z. Gezon, R. Polanco",2,,,,,
2010,07-Jul,Hill,D,188,3,Dry,9:46,13:27,3:41,9:46,1,"Z. Gezon, R. Polanco",12:29,1,"Z. Gezon, R. Polanco",2,,,,,
2010,07-Jul,Little,D,188,3,Veratrum,10:35,15:05,4:30,10:35,1,"Z. Gezon, R. Polanco",14:10,1,"Z. Gezon, R. Polanco",2,,,,,
2010,07-Jul,Copper,D,188,3,Willow,11:20,15:52,4:32,11:20,1,"Z. Gezon, R. Polanco",15:52,1,"Z. Gezon, R. Polanco",2,,,,,
2010,08-Jul,"Kettle ponds","Weather station",189,2,"Weather Station",9:26,14:40,5:14,9:26,1,"Z. Gezon",13:52,1,"Z. Gezon",2,,,,,
2010,08-Jul,Snodgrass,"Weather station",189,2,"Weather Station",11:40,16:56,5:16,11:40,1,"Z. Gezon",16:40,1,"Z. Gezon",2,,,,,
2010,09-Jul,"Mexican Cut","Weather station",190,1,"Weather Station",9:05,13:20,4:15,9:07,1,"Z. Gezon",12:00,1,"Z. Gezon",2,,,,,
2010,10-Jul,Almont,"Weather station",191,2,"Weather Station",9:00,14:17,5:17,9:00,1,"Z. Gezon",12:57,1,"Z. Gezon",2,,,,,
2010,19-Jul,Tuttle,A,200,3,Veratrum,9:17,14:36,5:19,9:18,1,"Z. Gezon, R. Polanco",13:14,1,"Z. Gezon, R. Polanco",2,,,,,
2010,19-Jul,Willey,A,200,3,Willow,10:02,15:56,5:54,10:02,1,"Z. Gezon, R. Polanco",14:47,1,"Z. Gezon, R. Polanco",2,,,,,
2010,19-Jul,Davids,A,200,3,Dry,11:02,17:40,6:38,11:02,1,"Z. Gezon, R. Polanco",16:28,1,"Z. Gezon, R. Polanco",2,,,,,
2010,20-Jul,Beaver,B,201,4,Veratrum,9:15,14:25,5:10,9:15,1,"Z. Gezon, R. Polanco",13:17,1,"Z. Gezon, R. Polanco",2,,,,,
2010,20-Jul,Gothic,B,201,4,Willow,10:00,15:47,5:47,10:00,1,"Z. Gezon, R. Polanco",14:40,1,"Z. Gezon, R. Polanco",2,,,,,
2010,20-Jul,Seans,B,201,4,Dry,10:55,15:55,5:00,10:55,1,"Z. Gezon, R. Polanco",16:00,1,"Z. Gezon, R. Polanco",2,,,,,
2010,23-Jul,"Mexican Cut","Weather station",204,2,"Weather Station",9:30,14:46,5:16,9:32,1,"Z. Gezon",12:58,1,"Z. Gezon",2,,,,,
