"species","site","year","DOY","pop","bowl","net","pop_adj","bowl_adj","net_adj"
"Agapostemon texanus","Almont","2010","178","0","0","0","0","0","0"
"Agapostemon texanus","Almont","2010","191","0","0","0","0","0","0"
"Agapostemon texanus","Almont","2010","205","1","1","0","0.168539325842697","0.168539325842697","0"
"Agapostemon texanus","Almont","2010","223","0","0","0","0","0","0"
"Agapostemon texanus","Almont","2010","232","0","0","0","0","0","0"
"Agapostemon texanus","Almont","2010","245","3","2","1","0.842857142857143","0.342857142857143","0.5"
"Agapostemon texanus","Almont","2011","167","0","0","0","0","0","0"
"Agapostemon texanus","Almont","2011","182","0","0","0","0","0","0"
"Agapostemon texanus","Almont","2011","195","1","1","0","0.166204986149584","0.166204986149584","0"
"Agapostemon texanus","Almont","2011","209","0","0","0","0","0","0"
"Agapostemon texanus","Almont","2011","221","0","0","0","0","0","0"
"Agapostemon texanus","Almont","2011","238","1","1","0","0.182370820668693","0.182370820668693","0"
"Agapostemon texanus","Almont","2011","255","7","6","1","1.48092643051771","0.980926430517711","0.5"
"Agapostemon texanus","Almont","2012","108","0","0","0","0","0","0"
"Agapostemon texanus","Almont","2012","121","4","4","0","0.571428571428571","0.571428571428571","0"
"Agapostemon texanus","Almont","2012","140","10","10","0","1.66666666666667","1.66666666666667","0"
"Agapostemon texanus","Almont","2012","152","8","8","0","1.2532637075718","1.2532637075718","0"
"Agapostemon texanus","Almont","2012","167","0","0","0","0","0","0"
"Agapostemon texanus","Almont","2012","177","0","0","0","0","0","0"
"Agapostemon texanus","Almont","2012","194","0","0","0","0","0","0"
"Agapostemon texanus","Almont","2012","207","0","0","0","0","0","0"
"Agapostemon texanus","Almont","2012","236","1","1","0","0.173913043478261","0.173913043478261","0"
"Agapostemon texanus","Almont","2015","119","3","3","0","0.521739130434783","0.521739130434783","0"
"Agapostemon texanus","Almont","2015","131","3","3","0","0.5","0.5","0"
"Agapostemon texanus","Almont","2015","147","0","0","0","0","0","0"
"Agapostemon texanus","Almont","2015","159","5","4","1","0.996894409937888","0.496894409937888","0.5"
"Agapostemon texanus","Almont","2015","176","3","3","0","0.33210332103321","0.33210332103321","0"
"Agapostemon texanus","Almont","2015","187","3","2","1","0.927046263345196","0.427046263345196","0.5"
"Agapostemon texanus","Almont","2015","205","1","1","0","0.208333333333333","0.208333333333333","0"
"Agapostemon texanus","Almont","2015","220","4","4","0","0.729483282674772","0.729483282674772","0"
"Agapostemon texanus","Almont","2016","125","2","2","0","0.335195530726257","0.335195530726257","0"
"Agapostemon texanus","Almont","2016","142","4","4","0","0.517241379310345","0.517241379310345","0"
"Agapostemon texanus","Almont","2016","155","2","2","0","0.27906976744186","0.27906976744186","0"
"Agapostemon texanus","Almont","2016","172","5","4","1","1.0727923627685","0.572792362768496","0.5"
"Agapostemon texanus","Almont","2016","187","15","15","0","2.55681818181818","2.55681818181818","0"
"Agapostemon texanus","Almont","2016","200","0","0","0","0","0","0"
"Agapostemon texanus","Almont","2016","214","7","7","0","1.32492113564669","1.32492113564669","0"
"Agapostemon texanus","Almont","2016","232","10","10","0","1.97368421052632","1.97368421052632","0"
"Agapostemon texanus","Almont","2016","244","2","2","0","0.489795918367347","0.489795918367347","0"
"Agapostemon texanus","Almont","2017","144","7","6","1","1.58108108108108","1.08108108108108","0.5"
"Agapostemon texanus","Almont","2017","153","2","2","0","0.418118466898955","0.418118466898955","0"
"Agapostemon texanus","Almont","2017","167","2","2","0","0.371517027863777","0.371517027863777","0"
"Agapostemon texanus","Almont","2017","181","1","1","0","0.21978021978022","0.21978021978022","0"
"Agapostemon texanus","Almont","2017","195","1","1","0","0.3","0.3","0"
"Agapostemon texanus","Almont","2017","209","0","0","0","0","0","0"
"Agapostemon texanus","Almont","2017","223","0","0","0","0","0","0"
"Agapostemon texanus","Almont","2017","236","2","2","0","0.4","0.4","0"
"Agapostemon texanus","Almont Curve","2017","144","28","28","0","3.83561643835616","3.83561643835616","0"
"Agapostemon texanus","Almont Curve","2017","153","9","8","1","2.5","2","0.5"
"Agapostemon texanus","Almont Curve","2017","167","7","7","0","1.34185303514377","1.34185303514377","0"
"Agapostemon texanus","Almont Curve","2017","181","3","2","1","0.993827160493827","0.493827160493827","0.5"
"Agapostemon texanus","Almont Curve","2017","195","2","1","1","0.867286392405063","0.234375","0.632911392405063"
"Agapostemon texanus","Almont Curve","2017","209","6","6","0","1.33333333333333","1.33333333333333","0"
"Agapostemon texanus","Almont Curve","2017","223","1","1","0","0.210526315789474","0.210526315789474","0"
"Agapostemon texanus","Almont Curve","2017","236","3","3","0","0.430622009569378","0.430622009569378","0"
"Andrena algida","Beaver","2012","124","0","0","0","0","0","0"
"Andrena algida","Beaver","2012","136","2","2","0","0.285714285714286","0.285714285714286","0"
"Andrena algida","Beaver","2012","151","1","1","0","0.19047619047619","0.19047619047619","0"
"Andrena algida","Beaver","2012","165","1","1","0","0.175438596491228","0.175438596491228","0"
"Andrena algida","Beaver","2012","179","0","0","0","0","0","0"
"Andrena algida","Beaver","2012","192","0","0","0","0","0","0"
"Andrena algida","Beaver","2012","208","0","0","0","0","0","0"
"Andrena algida","Beaver","2012","222","0","0","0","0","0","0"
"Andrena algida","Beaver","2012","240","0","0","0","0","0","0"
"Andrena algida","Copper","2012","131","4","4","0","0.571428571428571","0.571428571428571","0"
"Andrena algida","Copper","2012","142","0","0","0","0","0","0"
"Andrena algida","Copper","2012","156","1","1","0","0.195439739413681","0.195439739413681","0"
"Andrena algida","Copper","2012","170","0","0","0","0","0","0"
"Andrena algida","Copper","2012","184","0","0","0","0","0","0"
"Andrena algida","Copper","2012","200","0","0","0","0","0","0"
"Andrena algida","Copper","2012","213","0","0","0","0","0","0"
"Andrena algida","Copper","2012","227","0","0","0","0","0","0"
"Andrena algida","Gothic","2012","124","3","3","0","0.507042253521127","0.507042253521127","0"
"Andrena algida","Gothic","2012","136","1","1","0","0.176470588235294","0.176470588235294","0"
"Andrena algida","Gothic","2012","151","0","0","0","0","0","0"
"Andrena algida","Gothic","2012","165","0","0","0","0","0","0"
"Andrena algida","Gothic","2012","179","0","0","0","0","0","0"
"Andrena algida","Gothic","2012","192","0","0","0","0","0","0"
"Andrena algida","Gothic","2012","208","0","0","0","0","0","0"
"Andrena algida","Gothic","2012","222","0","0","0","0","0","0"
"Andrena algida","Gothic","2012","240","0","0","0","0","0","0"
